ticket_handle,game_handle,v,v+,t,h,h+,cuttoff_date,outcomes,visitor,home,sport
2597,53,2.1,2.9,7.0,2.2,1.6,2017-10-10 20:00:00.0,h,PHILADELPHIA,NASHVILLE,HKY
2597,51,1.85,2.6,7.0,2.5,1.75,2017-10-10 19:00:00.0,v,COLUMBUS,CAROLINA,HKY
2597,36,2.6,3.2,3.0,2.6,2.0,2017-10-12 23:59:00.0,h+ h,VANDERBILT,MISSISSIPPI,CFB
2597,60,2.1,2.9,7.0,2.2,1.6,2017-10-11 22:00:00.0,h,NEW YORK-I,ANAHEIM,HKY
2597,61,2.0,2.8,7.0,2.3,1.65,2017-10-11 22:30:00.0,v,CALGARY,LOS ANGELES,HKY
2597,62,2.1,2.9,7.0,2.2,1.6,2017-10-12 19:30:00.0,h,PITTSBURGH,TAMPA BAY,HKY
2597,63,2.1,2.9,7.0,2.2,1.6,2017-10-12 19:30:00.0,h+ h,ST. LOUIS,FLORIDA,HKY
2597,64,2.2,3.0,7.0,2.1,1.55,2017-10-12 20:00:00.0,h+ h,DALLAS,NASHVILLE,HKY
2597,65,2.3,3.0,7.0,2.05,1.5,2017-10-12 20:30:00.0,v+ v,MINNESOTA,CHICAGO,HKY
2597,66,1.55,2.1,7.0,3.0,2.2,2017-10-12 22:00:00.0,v+ v,WINNIPEG,VANCOUVER,HKY
2597,67,2.1,2.9,7.0,2.2,1.6,2017-10-12 22:00:00.0,v+ v,DETROIT,ARIZONA,HKY
2597,82,2.8,0.0,3.0,0.0,2.2,2017-10-10 19:30:00.0,t,COLOMBIA,PERU,SCR
2597,83,3.0,0.0,2.75,0.0,2.25,2017-10-10 20:00:00.0,h,MEXICO,HONDURAS,SCR
2597,80,1.25,0.0,4.5,0.0,8.0,2017-10-10 19:30:00.0,v,ARGENTINA,ECUADOR,SCR
2597,81,9.0,0.0,5.0,0.0,1.2,2017-10-10 19:30:00.0,v,VENEZUELA,PARAGUAY,SCR
2597,86,3.3,0.0,3.0,0.0,1.95,2017-10-11 20:00:00.0,h,KANSAS CITY,HOUSTON,SCR
2597,87,3.6,0.0,3.0,0.0,1.85,2017-10-12 23:59:00.0,h,FC KOLN,STUTTGART,SCR
2597,84,5.0,0.0,3.6,0.0,1.5,2017-10-10 20:00:00.0,h,COSTA RICA,PANAMA,SCR
2597,85,1.25,0.0,4.5,0.0,8.5,2017-10-10 20:00:00.0,h,UNITED STATES,TRINIDAD TOBAGO,SCR
2597,24,2.7,3.3,3.1,2.5,1.9,2017-10-12 23:59:00.0,h+ h,TEXAS TECH,WEST VIRGINIA,CFB
2597,25,1.4,1.8,3.6,5.5,4.0,2017-10-12 23:59:00.0,v,FLORIDA ST.,DUKE,CFB
2597,26,2.5,3.1,2.9,2.7,2.1,2017-10-12 23:59:00.0,v+ v,RUTGERS,ILLINOIS,CFB
2597,27,2.5,3.1,2.9,2.7,2.1,2017-10-12 23:59:00.0,v,SOUTH CAROLINA,TENNESSEE,CFB
2597,20,1.1,1.2,5.0,9.0,6.0,2017-10-12 23:59:00.0,h+ h,WASHINGTON ST.,CALIFORNIA,CFB
